Domanda,Risposte
disclaimer,Accetto 
annonascita,1997
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,3
nomecorso,studi letterari e storico arrostistici
ateneo,trieste
anniuso,10
anniinternet,10
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,Non so
creazione_pdf,salvo da word
markup,html,xml,jpeg
hardware,hard disk,stampante,cavo hdmi
duckduckgo,Non so
siti_affidabili,fattoquotidaino,corrieredellasera,retenews24,treccani
https,units,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,cestino
google,tutto
inviocartella,google drive
collaborazione,via email
spyware,Non so

