Domanda,Risposte
disclaimer,
annonascita,1996
sesso,F
regione,Veneto
cdl,LM
annocorso,1
nomecorso,traduzione specialistica e interpretazione
ateneo,trieste
anniuso,10
anniinternet,10
interesse,N
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,stampo e scansiono,ocr,salvo da word
hardware,hard disk,stampante,supporti SSD,cavo hdmi
siti_affidabili,ansa
https,pornhub,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

