Domanda,Risposte
disclaimer,
annonascita,1997
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,2
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,10
anniinternet,8
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,N
competenza,scarsa
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,nessuno
sicurezza,base
file_rar,archivio compresso
creazione_pdf,Non so
markup,Non so
hardware,sistema operativo,cloud computing,browser,indirizzo IP
duckduckgo,motorericerca
siti_affidabili,fattoquotidaino,ansa,wikipedia,corrieredellasera,treccani
https,units,googlemail,unicredit
allinurl,Non so
social_network,tutto pubblico
password,cambio password
phishing,controllo indirizzo
google,siti
inviocartella,Non so
collaborazione,google docs,pendrive
spyware,antimalware

