Domanda,Risposte
disclaimer,Accetto
annonascita,1997
sesso,F
regione,Veneto
cdl,LT
annocorso,3
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,13
anniinternet,-2
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,N
competenza,scarsa
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,stessa password
phishing,cestino
google,siti
inviocartella,vari messaggi email,google drive
collaborazione,via email,google docs
spyware,google

