Domanda,Risposte
disclaimer,Accetto
annonascita,1994
sesso,F
regione,Lombardia
cdl,LM
annocorso,F
nomecorso,lettere moderne
ateneo,milano
anniuso,17
anniinternet,13
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,medio
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,supporti SSD
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,pornhub,musicagratis,unicredit
allinurl,Non so
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo,cestino
google,siti
inviocartella,vari messaggi email,google drive
collaborazione,google docs
spyware,antimalware

