Domanda,Risposte
disclaimer,
annonascita,1995
sesso,F
regione,Puglia
cdl,LT
annocorso,2
nomecorso,lettere moderne
ateneo,salento
anniuso,20
anniinternet,13
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Tablet
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,avanzato
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
siti_affidabili,ansa,corrieredellasera,treccani
https,pornhub,musicagratis,unicredit
social_network,opzioni privacy
password,cambio password
phishing,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

