Domanda,Risposte
disclaimer,
annonascita,1995
sesso,F
regione,Lombardia
cdl,LM
annocorso,2
nomecorso,interpretazione
ateneo,bologna
anniuso,15
anniinternet,11
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,N
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
markup,Non so
hardware,hard disk,sistema operativo
duckduckgo,virus,motorericerca
siti_affidabili,ansa,corrieredellasera,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,cambio password
phishing,cestino
google,siti,non indicizzati
inviocartella,google drive
collaborazione,wordpress
spyware,antimalware,altro browser

