Domanda,Risposte
disclaimer,
annonascita,1997
sesso,F
regione,Lombardia
cdl,LT
annocorso,3
nomecorso,lettere
ateneo,bergamo
anniuso,10
anniinternet,7
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,medio
file_rar,Non so
creazione_pdf,Adobe Reader
markup,Non so
hardware,hard disk
duckduckgo,Non so
siti_affidabili,fattoquotidaino,corrieredellasera,retenews24,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,tutto
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

