Domanda,Risposte
disclaimer,
annonascita,1994
sesso,F
regione,Friuli Venezia Giulia
cdl,LM
annocorso,2
nomecorso,traduzione specialistica e interpretazione
ateneo,trieste
anniuso,14
anniinternet,10
interesse,N
computerpersonale,S
os,MacOS
altroos,
dispositivo,Tablet
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,N
competenza,sufficiente
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,Non so
creazione_pdf,ocr
markup,html,xml
hardware,hard disk,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,fattoquotidaino,corrieredellasera,treccani
https,Non so
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

