Domanda,Risposte
disclaimer,
annonascita,1998
sesso,F
regione,Lazio
cdl,LT
annocorso,2
nomecorso,comunicazione interlinguistica applicata alle professioni giuridiche
ateneo,trieste
anniuso,7
anniinternet,7
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,N
competenza,insufficiente
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,base
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,sistema operativo
duckduckgo,Non so
siti_affidabili,treccani
https,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,via email
spyware,Non so

