Domanda,Risposte
disclaimer,
annonascita,1997
sesso,F
regione,Sicilia
cdl,LT
annocorso,F
nomecorso,scienze della comunicazione
ateneo,tor vergata
anniuso,10
anniinternet,9
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,scarsa
elaborazioneinformazioni,medio
creazionecontenuti,nessuno
comunicazione,base
risoluzioneproblemi,nessuno
sicurezza,base
file_rar,Non so
creazione_pdf,Adobe Reader
markup,Non so
hardware,hard disk,Non so
duckduckgo,motorericerca
siti_affidabili,ansa,wikipedia,treccani
https,pornhub,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password,scrivo le password
phishing,controllo indirizzo,Non so
google,Non so
inviocartella,vari messaggi email,google drive
collaborazione,via email,wordpress,pendrive
spyware,antimalware

