Domanda,Risposte
disclaimer,
annonascita,1995
sesso,F
regione,Puglia
cdl,LM
annocorso,1
nomecorso,lingue moderne
ateneo,salento
anniuso,13
anniinternet,10
interesse,S
computerpersonale,S
os,MacOS
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,html,xml,latex,jpeg
hardware,hard disk,supporti SSD
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,pornhub,unicredit
allinurl,restringe risultati
social_network,tutto pubblico
password,cambio password,scrivo le password
phishing,controllo indirizzo,cestino
google,tutto
inviocartella,vari messaggi email
collaborazione,via email,google docs,pendrive
spyware,antimalware

