Domanda,Risposte
disclaimer,
annonascita,1998
sesso,F
regione,Veneto
cdl,LT
annocorso,1
nomecorso,letterature
ateneo,trieste
anniuso,13
anniinternet,9
interesse,N
computerpersonale,S
os,Linux
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,scarsa
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,base
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,treccani
https,units,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,scrivo le password
phishing,controllo indirizzo,cestino
google,tutto
inviocartella,google drive
collaborazione,google docs
spyware,Non so

