Domanda,Risposte
disclaimer,
annonascita,1982
sesso,F
regione,Sicilia
cdl,LT
annocorso,3
nomecorso,arte
ateneo,bergamo
anniuso,25
anniinternet,20
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,javascript
hardware,hard disk,sistema operativo
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,pornhub,musicagratis,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo,cestino
google,siti
inviocartella,google drive,ftp
collaborazione,google docs
spyware,antimalware

