Domanda,Risposte
disclaimer,Accetto
annonascita,1990
sesso,F
regione,Emilia Romagna
cdl,LM
annocorso,3
nomecorso,dottorato in linguistica
ateneo,pisa
anniuso,24
anniinternet,16
interesse,S
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione,Altro
altroattivita,Shopping 
sostituzionehardware,S
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,ottima
elaborazioneinformazioni,tutto
creazionecontenuti,tutto
comunicazione,tutto
risoluzioneproblemi,tutto
sicurezza,tutto
file_rar,archivio compresso
creazione_pdf,stampo e scansiono,ocr,salvo da word
markup,html,xml,latex
hardware,hard disk
duckduckgo,motorericerca
siti_affidabili,ansa,corrieredellasera,treccani
https,pornhub,musicagratis,unicredit
allinurl,restringe risultati
social_network,opzioni privacy,rimozione definitiva
password,cambio password
phishing,controllo indirizzo,cestino
google,tutto
inviocartella,google drive,ftp
collaborazione,google docs
spyware,antimalware

