Domanda,Risposte
disclaimer,
annonascita,1999
sesso,F
regione,Lombardia
cdl,LT
annocorso,1
nomecorso,scienze umanistiche per la comunicazione
ateneo,milano
anniuso,10
anniinternet,10
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,stampante,cloud computing
duckduckgo,motorericerca
siti_affidabili,ansa,corrieredellasera,treccani
https,pornhub,musicagratis,unicredit
allinurl,Non so
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

