Domanda,Risposte
disclaimer,Accetto
annonascita,1993
sesso,F
regione,Marche
cdl,LT
annocorso,F
nomecorso,scienze umanistiche. discipline letterarie artistiche e filosofiche
ateneo,urbino
anniuso,15
anniinternet,10
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word,Adobe Reader
markup,Non so
hardware,hard disk
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,treccani
https,pornhub,musicagratis,unicredit
allinurl,Non so
social_network,opzioni privacy
password,scrivo le password
phishing,controllo indirizzo,cestino
google,tutto,siti,illegali
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

