Domanda,Risposte
disclaimer,
annonascita,1994
sesso,F
regione,Lazio
cdl,LM
annocorso,2
nomecorso,filologia
ateneo,tor vergata
anniuso,15
anniinternet,13
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,avanzato
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,cambio password
phishing,cestino
google,tutto
inviocartella,google drive
collaborazione,google docs,pendrive
spyware,antimalware

