Domanda,Risposte
disclaimer,Accetto
annonascita,1999
sesso,F
regione,Emilia Romagna
cdl,LT
annocorso,1
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,8
anniinternet,6
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,N
competenza,insufficiente
elaborazioneinformazioni,medio
creazionecontenuti,nessuno
comunicazione,medio
risoluzioneproblemi,nessuno
sicurezza,base
file_rar,Non so
creazione_pdf,salvo da word,Adobe Reader
markup,Non so
hardware,hard disk,stampante,cavo hdmi
duckduckgo,Non so
siti_affidabili,corrieredellasera,treccani
https,units,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password,scrivo le password
phishing,controllo indirizzo
google,siti,illegali
inviocartella,Non so
collaborazione,via email
spyware,altro browser

