Domanda,Risposte
disclaimer,Accetto
annonascita,1999
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,1
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,12
anniinternet,10
interesse,S
computerpersonale,S
os,MacOS
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,S
competenza,scarsa
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,ocr
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,retenews24,treccani
https,Non so
allinurl,restringe risultati
social_network,opzioni privacy
password,scrivo le password
phishing,cestino
google,siti
inviocartella,Non so
collaborazione,google docs
spyware,antimalware

