Domanda,Risposte
disclaimer,
annonascita,1995
sesso,M
regione,Lombardia
cdl,LT
annocorso,1
nomecorso,filosofia
ateneo,milano
anniuso,4
anniinternet,5
interesse,N
computerpersonale,S
os,Linux
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,insufficiente
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,base
risoluzioneproblemi,base
sicurezza,nessuno
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,javascript,html,xml
hardware,hard disk
duckduckgo,motorericerca
siti_affidabili,ansa,wikipedia,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy,rimozione definitiva
password,nessuna
phishing,controllo indirizzo,cestino
google,siti
inviocartella,google drive,pendrive e posta,ftp
collaborazione,google docs,pendrive
spyware,antimalware,altro browser

