Domanda,Risposte
disclaimer,Accetto
annonascita,1996
sesso,F
regione,Piemonte
cdl,LM
annocorso,1
nomecorso,lingue
ateneo,vercelli
anniuso,14
anniinternet,7
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,retenews24,treccani
https,units,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,cambio password
phishing,cestino
google,tutto
inviocartella,google drive,ftp
collaborazione,via email,google docs
spyware,antimalware

