Domanda,Risposte
disclaimer,accetto
annonascita,2000
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,1
nomecorso,lingue e letterature straniere
ateneo,trieste
anniuso,14
anniinternet,8
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,base
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,medio
file_rar,immagine
creazione_pdf,ocr
markup,javascript,html
hardware,hard disk,sistema operativo,supporti SSD
duckduckgo,virus
siti_affidabili,wikipedia,treccani
https,unicredit
allinurl,carattere jolly
social_network,opzioni privacy
password,stessa password,cambio password
phishing,controllo indirizzo,rispondo
google,tutto,siti,illegali
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

