Domanda,Risposte
disclaimer,Accetto
annonascita,1997
sesso,F
regione,Puglia
cdl,LT
annocorso,3
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,10
anniinternet,8
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,xml
hardware,sistema operativo
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,units
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,tutto,siti,non indicizzati,illegali
inviocartella,google drive
collaborazione,google docs
spyware,tecnico

