Domanda,Risposte
disclaimer,Accetto
annonascita,1996
sesso,F
regione,Marche
cdl,LT
annocorso,3
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,12
anniinternet,12
interesse,N
computerpersonale,S
os,MacOS
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,N
competenza,scarsa
elaborazioneinformazioni,avanzato
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,ocr,salvo da word
markup,javascript,html,xml
hardware,hard disk
duckduckgo,Non so
siti_affidabili,ansa,wikipedia,corrieredellasera,treccani
https,Non so
allinurl,restringe risultati
social_network,opzioni privacy
password,stessa password,scrivo le password
phishing,controllo indirizzo
google,siti,illegali
inviocartella,google drive
collaborazione,google docs
spyware,tecnico,google

