Domanda,Risposte
disclaimer,
annonascita,1991
sesso,F
regione,Marche
cdl,LM
annocorso,2
nomecorso,tradauzione specialistica e interpretazione
ateneo,trieste
anniuso,17
anniinternet,15
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,N
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,stampo e scansiono
markup,html,xml
hardware,hard disk,stampante,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,pornhub,musicagratis,unicredit
allinurl,Non so
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,google

