Domanda,Risposte
disclaimer,
annonascita,1992
sesso,F
regione,Friuli Venezia Giulia
cdl,LM
annocorso,2
nomecorso,lingue e letterature europee ed extraeuropee
ateneo,udine
anniuso,14
anniinternet,10
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,S
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,medio
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,stampante,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,corrieredellasera,treccani
https,unicredit
allinurl,Non so
social_network,tutto pubblico
password,nessuna
phishing,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

