Domanda,Risposte
disclaimer,Accetto
annonascita,1991
sesso,F
regione,Puglia
cdl,LT
annocorso,1
nomecorso,lingue
ateneo,salento
anniuso,22
anniinternet,22
interesse,S
computerpersonale,S
os,Linux
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,sufficiente
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,html,xml
hardware,hard disk
duckduckgo,motorericerca
siti_affidabili,ansa,wikipedia,treccani
https,Non so
allinurl,restringe risultati
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo
google,siti
inviocartella,google drive,ftp
collaborazione,via email,google docs
spyware,antimalware

