Domanda,Risposte
disclaimer,
annonascita,1997
sesso,F
regione,Calabria
cdl,LT
annocorso,3
nomecorso,lettere classiche
ateneo,salento
anniuso,6
anniinternet,6
interesse,S
computerpersonale,N
os,nocomputer
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,avanzato
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso,word
creazione_pdf,Adobe Reader
markup,html,xml,Non so
hardware,hard disk,stampante,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,ansa,wikipedia,retenews24,treccani
https,googlemail
allinurl,Non so
social_network,tutto pubblico,opzioni privacy
password,stessa password,cambio password,scrivo le password
phishing,controllo indirizzo,apro link,cestino
google,tutto
inviocartella,Non so
spyware,antimalware

