Domanda,Risposte
disclaimer,Accetto
annonascita,1997
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,2
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,20
anniinternet,11
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Lavoro,Svago,Altro
altroattivita,Organizzazione
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base

