Domanda,Risposte
disclaimer,
annonascita,1995
sesso,F
regione,Puglia
cdl,LT
annocorso,3
nomecorso,filosofia
ateneo,salento
anniuso,10
anniinternet,10
interesse,N
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,S
espertoliceo,N
espertouniversita,N
problemi,N
competenza,scarsa
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,base
file_rar,Non so
creazione_pdf,Adobe Reader
markup,Non so
hardware,sistema operativo
duckduckgo,Non so
siti_affidabili,treccani
https,googlemail
allinurl,Non so
social_network,tutto privato
password,nessuna
phishing,apro link
google,tutto
inviocartella,google drive
collaborazione,google docs
spyware,tecnico

