Domanda,Risposte
disclaimer,Accetto
annonascita,1995
sesso,F
regione,Trentino Alto Adige
cdl,LT
annocorso,3
nomecorso,lingue e letterature straniere
ateneo,trieste
anniuso,15
anniinternet,10
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Fisso
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word,Adobe Reader
markup,html,xml,latex
hardware,hard disk,supporti SSD,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,treccani
https,Non so
allinurl,restringe risultati
social_network,opzioni privacy
password,cambio password,scrivo le password
phishing,controllo indirizzo,rispondo
google,siti,illegali
inviocartella,google drive
collaborazione,google docs
spyware,antimalware,modalita provvisoria

