Domanda,Risposte
disclaimer,Accetto
annonascita,1997
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,3
nomecorso,studi letterari storico artistici
ateneo,trieste
anniuso,12
anniinternet,12
interesse,N
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,N
competenza,buona
elaborazioneinformazioni,tutto
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,tutto
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,sistema operativo
duckduckgo,virus
siti_affidabili,ansa,corrieredellasera,treccani
https,units,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,cestino
google,siti
inviocartella,vari messaggi email
collaborazione,google docs
spyware,google

