Domanda,Risposte
disclaimer,
annonascita,1998
sesso,F
regione,Veneto
cdl,LT
annocorso,2
nomecorso,conservazione e gestione dei beni e delle attività culturali
ateneo,venezia
anniuso,10
anniinternet,10
interesse,S
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base

