Domanda,Risposte
disclaimer,
annonascita,1996
sesso,M
regione,Lazio
cdl,LT
annocorso,3
nomecorso,lettere moderne indirizzo storico artistico
ateneo,trieste
anniuso,10
anniinternet,7
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Tablet
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,sistema operativo
duckduckgo,Non so
siti_affidabili,ansa,wikipedia,corrieredellasera,treccani
https,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,scrivo le password
phishing,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

