Domanda,Risposte
disclaimer,Accetto
annonascita,1997
sesso,F
regione,Veneto
cdl,LT
annocorso,3
nomecorso,lettere
ateneo,venezia
anniuso,13
anniinternet,10
interesse,S
computerpersonale,S
os,MacOS
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,N
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,html,xml
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,ansa,treccani
https,googlemail
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,cestino
google,illegali
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

