Domanda,Risposte
disclaimer,Accetto
annonascita,1996
sesso,F
regione,Friuli Venezia Giulia
cdl,LM
annocorso,1
nomecorso,traduzione specialistica e interpretazione
ateneo,trieste
anniuso,16
anniinternet,10
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,sistema operativo
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,pornhub,musicagratis,unicredit
allinurl,Non so
social_network,opzioni privacy
password,nessuna
phishing,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

