Domanda,Risposte
disclaimer,Accetto
annonascita,1998
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,2
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,10
anniinternet,8
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Fisso
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,sufficiente
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,html,xml,jpeg
hardware,hard disk,sistema operativo,supporti SSD,browser,indirizzo IP
duckduckgo,Non so
siti_affidabili,treccani
https,Non so
allinurl,restringe risultati
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,via email,google docs
spyware,antimalware

