Domanda,Risposte
disclaimer,
annonascita,1997
sesso,M
regione,Lombardia
cdl,LT
annocorso,3
nomecorso,lettere
ateneo,milano
anniuso,13
anniinternet,11
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,avanzato
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,avanzato
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,javascript,html
hardware,hard disk,stampante,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,ansa,wikipedia,corrieredellasera,treccani
https,pornhub,musicagratis,unicredit
allinurl,non esiste
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

