Domanda,Risposte
disclaimer,Accetto
annonascita,1997
sesso,F
regione,Friuli Venezia Giulia
cdl,LM
annocorso,3
nomecorso,scienze della formazione primaria
ateneo,udine
anniuso,15
anniinternet,10
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,sufficiente
elaborazioneinformazioni,tutto
creazionecontenuti,base
comunicazione,tutto
risoluzioneproblemi,base
sicurezza,tutto
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,Non so
https,Non so
allinurl,Non so
social_network,opzioni privacy
password,nessuna
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,Non so

