Domanda,Risposte
disclaimer,Accetto
annonascita,1998
sesso,M
regione,Friuli Venezia Giulia
cdl,LT
annocorso,2
nomecorso,lettere
ateneo,udine
anniuso,10
anniinternet,8
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,Scrivo per una rivista online
sostituzionehardware,S
corsoit,S
ecdl,N
espertoliceo,N
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,avanzato
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,javascript,html,xml
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,ansa,treccani
https,pornhub,units,googlemail,unicredit
allinurl,carattere jolly
social_network,tutto pubblico
password,stessa password
phishing,controllo indirizzo
google,illegali
inviocartella,google drive
collaborazione,wordpress
spyware,antimalware

