Domanda,Risposte
disclaimer,
annonascita,1996
sesso,F
regione,Sicilia
cdl,LT
annocorso,3
nomecorso,lettere classiche
ateneo,palermo
anniuso,15
anniinternet,15
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,N
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,stampo e scansiono
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,wikipedia,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,scrivo le password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

