Domanda,Risposte
disclaimer,Accetto
annonascita,1992
sesso,M
regione,Lombardia
cdl,LM
annocorso,F
nomecorso,scienze filosofiche
ateneo,milano
anniuso,18
anniinternet,18
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,S
espertoliceo,N
espertouniversita,N
problemi,S
competenza,scarsa
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,wikipedia,treccani
https,Non so
allinurl,Non so
social_network,tutto pubblico
password,stessa password
phishing,controllo indirizzo,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

