Domanda,Risposte
disclaimer,
annonascita,1996
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,3
nomecorso,beni culturali
ateneo,udine
anniuso,10
anniinternet,10
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,ocr
markup,html,latex
hardware,sistema operativo
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,pornhub,musicagratis,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

