Domanda,Risposte
disclaimer,
annonascita,1993
sesso,M
regione,Trentino Alto Adige
cdl,LM
annocorso,2
nomecorso,interpretazione
ateneo,trieste
anniuso,14
anniinternet,13
interesse,N
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,S
espertoliceo,N
espertouniversita,S
problemi,S
competenza,scarsa
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,base
risoluzioneproblemi,medio
sicurezza,medio
file_rar,Non so
creazione_pdf,Non so
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,Non so
allinurl,Non so
social_network,opzioni privacy
password,nessuna
phishing,controllo indirizzo
google,siti,non indicizzati
inviocartella,google drive
collaborazione,google docs
spyware,altro browser,google

