Domanda,Risposte
disclaimer,Accetto
annonascita,1998
sesso,F
regione,Lombardia
cdl,LT
annocorso,1
nomecorso,interpretariato e comunicazione
ateneo,iulm milano
anniuso,9
anniinternet,9
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,S
competenza,scarsa
elaborazioneinformazioni,avanzato
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word,Adobe Reader
markup,html,xml,jpeg
hardware,hard disk,stampante,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,ansa,corrieredellasera,retenews24,treccani
https,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,nessuna
phishing,controllo indirizzo
google,siti,illegali
inviocartella,cd,google drive,ftp
collaborazione,google docs
spyware,Non so

