Domanda,Risposte
disclaimer,Accetto
annonascita,1996
sesso,F
regione,Emilia Romagna
cdl,LM
annocorso,1
nomecorso,interpretazione
ateneo,trieste
anniuso,15
anniinternet,12
interesse,S
computerpersonale,S
os,MacOS
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,N
problemi,S
competenza,buona
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,avanzato
file_rar,archivio compresso
creazione_pdf,Non so
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,units,unicredit
allinurl,Non so
social_network,opzioni privacy
password,nessuna
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,tecnico,google

