Domanda,Risposte
disclaimer,accetto 
annonascita,1998
sesso,F
regione,Piemonte
cdl,LT
annocorso,2
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,8
anniinternet,6
interesse,N
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,scarsa
elaborazioneinformazioni,avanzato
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,html,xml
hardware,hard disk,supporti SSD,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,ansa,corrieredellasera,treccani
https,Non so
allinurl,restringe risultati
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo,rispondo
google,siti,non indicizzati,illegali
inviocartella,Non so
collaborazione,via email,google docs
spyware,Non so

