Domanda,Risposte
disclaimer,
annonascita,1994
sesso,F
regione,Piemonte
cdl,LM
annocorso,1
nomecorso,lingue
ateneo,vercelli
anniuso,12
anniinternet,12
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,S
competenza,scarsa
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,base
file_rar,Non so
creazione_pdf,stampo e scansiono,ocr
markup,Non so
hardware,hard disk
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,retenews24,treccani
https,unicredit
allinurl,Non so
social_network,tutto pubblico
password,stessa password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

