Domanda,Risposte
disclaimer,
annonascita,1997
sesso,F
regione,Puglia
cdl,LT
annocorso,3
nomecorso,beni culturali
ateneo,foggia
anniuso,14
anniinternet,8
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,S
problemi,N
competenza,insufficiente
elaborazioneinformazioni,medio
creazionecontenuti,nessuno
comunicazione,base
risoluzioneproblemi,nessuno
sicurezza,nessuno
file_rar,Non so
creazione_pdf,Adobe Reader
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,treccani
https,unicredit
allinurl,Non so
social_network,Non so
password,nessuna
phishing,controllo indirizzo
google,tutto
inviocartella,Non so
collaborazione,pendrive
spyware,tecnico

