Domanda,Risposte
disclaimer,Accetto
annonascita,1994
sesso,F
regione,Abruzzo
cdl,LM
annocorso,3
nomecorso,interpretazione
ateneo,trieste
anniuso,15
anniinternet,10
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,scarsa
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,unicredit
allinurl,restringe risultati
social_network,opzioni privacy,rimozione definitiva
password,cambio password
phishing,controllo indirizzo
google,tutto
inviocartella,google drive
collaborazione,google docs
spyware,antimalware,altro browser

