Domanda,Risposte
disclaimer,
annonascita,1999
sesso,F
regione,Veneto
cdl,LT
annocorso,1
nomecorso,comunicazione interlinguistica applicata alle professioni giuridiche
ateneo,trieste
anniuso,10
anniinternet,10
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,N
competenza,scarsa
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,base
sicurezza,medio
file_rar,Non so
creazione_pdf,Non so
markup,javascript
hardware,Non so
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,wikipedia,corrieredellasera,retenews24,treccani
https,Non so
allinurl,Non so
social_network,tutto privato,opzioni privacy
password,stessa password,scrivo le password
phishing,Non so
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

