Domanda,Risposte
disclaimer,Accetto
annonascita,1999
sesso,F
regione,Toscana
cdl,LT
annocorso,1
nomecorso,scienze umanistiche per la comunicazione
ateneo,milano
anniuso,8
anniinternet,6
interesse,N
computerpersonale,S
os,MacOS
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,N
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,ocr
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,googlemail
allinurl,Non so
social_network,opzioni privacy
password,stessa password,scrivo le password
phishing,controllo indirizzo,apro link
google,tutto,siti,illegali
inviocartella,vari messaggi email
collaborazione,via email
spyware,Non so

