Domanda,Risposte
disclaimer,
annonascita,1994
sesso,F
regione,Puglia
cdl,LT
annocorso,3
nomecorso,scienza e tecnica della mediazione linguistica
ateneo,salento
anniuso,7
anniinternet,7
interesse,S
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,ottima
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,ocr,salvo da word
markup,Non so
hardware,hard disk,sistema operativo,supporti SSD
duckduckgo,motorericerca
siti_affidabili,ansa,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password,cambio password
phishing,cestino
google,tutto,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

