Domanda,Risposte
disclaimer,accetto
annonascita,1997
sesso,F
regione,Puglia
cdl,LT
annocorso,3
nomecorso,scienza e tecnica della mediazione linguistica
ateneo,salento
anniuso,15
anniinternet,11
interesse,S
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,ocr
markup,Non so
hardware,hard disk
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,nessuna
phishing,cestino
google,siti
inviocartella,google drive
collaborazione,wordpress
spyware,antimalware

