Domanda,Risposte
disclaimer,
annonascita,1994
sesso,F
regione,Veneto
cdl,LM
annocorso,2
nomecorso,traduzione specialistica e interpretazione
ateneo,trieste
anniuso,13
anniinternet,10
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,Non so
creazione_pdf,salvo da word,Adobe Reader
markup,xml
hardware,hard disk
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,scrivo le password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

