Domanda,Risposte
disclaimer,Si
annonascita,1999
sesso,F
regione,Emilia Romagna
cdl,LT
annocorso,1
nomecorso,mediazione linguistica interculturale
ateneo,bologna
anniuso,10
anniinternet,12
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,tutto
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,ocr,Adobe Reader
markup,javascript,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,corrieredellasera,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo
google,tutto,siti,non indicizzati,illegali
inviocartella,google drive,ftp
collaborazione,google docs
spyware,antimalware

