Domanda,Risposte
disclaimer,
annonascita,1998
sesso,F
regione,Piemonte
cdl,LT
annocorso,2
nomecorso,lingue straniere moderne
ateneo,vercelli
anniuso,12
anniinternet,8
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,N
competenza,buona
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,Non so
creazione_pdf,Adobe Reader
markup,Non so
hardware,sistema operativo,browser,indirizzo IP
duckduckgo,motorericerca
siti_affidabili,ansa,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,tutto
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

