Domanda,Risposte
disclaimer,
annonascita,1997
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,3
nomecorso,lettere
ateneo,udine
anniuso,13
anniinternet,12
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,base
file_rar,Non so
creazione_pdf,salvo da word
markup,wordpress,javascript,html
hardware,hard disk,supporti SSD
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

