Domanda,Risposte
disclaimer,Accetto
annonascita,1993
sesso,F
regione,Sicilia
cdl,LM
annocorso,2
nomecorso,traduzione e mediazione culturale
ateneo,udine
anniuso,15
anniinternet,13
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,sufficiente
elaborazioneinformazioni,avanzato
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,sistema operativo,supporti SSD
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,retenews24
https,pornhub,musicagratis,unicredit
allinurl,restringe risultati
social_network,opzioni privacy,rimozione definitiva
password,stessa password,scrivo le password
phishing,controllo indirizzo
google,siti,non indicizzati
inviocartella,google drive,ftp
collaborazione,google docs
spyware,tecnico,antimalware

