Domanda,Risposte
disclaimer,Accetto 
annonascita,1995
sesso,F
regione,Lombardia
cdl,LT
annocorso,3
nomecorso,lettere moderne
ateneo,pavia
anniuso,17
anniinternet,11
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,Non so
creazione_pdf,ocr
markup,Non so
hardware,hard disk,stampante,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,retenews24,treccani
https,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy,rimozione definitiva
password,scrivo le password
phishing,controllo indirizzo
google,tutto
inviocartella,google drive
collaborazione,via email
spyware,antimalware

