Domanda,Risposte
disclaimer,Accetto 
annonascita,1997
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,3
nomecorso,lettere antiche e moderne
ateneo,trieste
anniuso,7
anniinternet,5
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,base
risoluzioneproblemi,base
sicurezza,base
file_rar,Non so
creazione_pdf,salvo da word
markup,html,xml,jpeg
hardware,stampante,cavo hdmi
duckduckgo,Non so
siti_affidabili,fattoquotidaino,corrieredellasera,retenews24,treccani
https,units
allinurl,Non so
social_network,opzioni privacy,rimozione definitiva
password,stessa password
phishing,cestino
google,tutto
inviocartella,google drive
collaborazione,via email,pendrive
spyware,Non so

