Domanda,Risposte
disclaimer,Accetto
annonascita,1999
sesso,M
regione,Lazio
cdl,LT
annocorso,2
nomecorso,lettere moderne
ateneo,sapienza roma
anniuso,14
anniinternet,10
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,avanzato

