Domanda,Risposte
disclaimer,Accetto
annonascita,1996
sesso,F
regione,Lazio
cdl,LT
annocorso,3
nomecorso,lettere moderne
ateneo,roma tre
anniuso,16
anniinternet,15
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Tablet
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,ocr
markup,javascript,html,xml
hardware,hard disk,supporti SSD
duckduckgo,motorericerca
siti_affidabili,ansa,wikipedia,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware,google

